Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,76,0.36,53.91,200,152,19,371,0.40970350404312667,0.05121293800539083,0.5681818181818182,0.4318181818181818
Lost Box Charizard,332,1.59,55.05,894,686,44,1624,0.4224137931034483,0.027093596059113302,0.5658227848101266,0.4341772151898734
Arceus Aerodactyl,20,0.1,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.44086021505376344
Dialga LZ,1,0.0,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Snorlax Stall,430,2.06,50.55,1095,906,165,2166,0.4182825484764543,0.07617728531855955,0.5472263868065967,0.4527736131934033
Pidgeot Control,637,3.06,50.73,1522,1260,218,3000,0.42,0.07266666666666667,0.5470884255930984,0.4529115744069015
Hisuian Samurott,10,0.05,53.52,38,32,1,71,0.4507042253521127,0.014084507042253521,0.5428571428571428,0.45714285714285713
Entei Iron Valiant,9,0.04,54.17,26,22,0,48,0.4583333333333333,0.0,0.5416666666666666,0.4583333333333333
Arceus Giratina,764,3.67,52.14,1923,1643,122,3688,0.44549891540130154,0.03308026030368764,0.5392596747055525,0.4607403252944476
Arceus Armarouge,205,0.98,52.91,519,445,17,981,0.4536187563710499,0.017329255861365953,0.5383817427385892,0.4616182572614108
Giratina LZ Box,1004,4.82,51.71,2418,2130,128,4676,0.45551753635585973,0.02737382378100941,0.5316622691292876,0.4683377308707124
Gouging Fire,147,0.71,51.62,350,312,16,678,0.46017699115044247,0.02359882005899705,0.5287009063444109,0.47129909365558914
Arceus Vulpix,269,1.29,51.61,690,619,28,1337,0.46297681376215405,0.020942408376963352,0.5271199388846448,0.47288006111535524
Lost Zone Box,862,4.14,50.66,1986,1813,121,3920,0.4625,0.03086734693877551,0.5227691497762569,0.47723085022374306
Arceus,185,0.89,50.66,421,391,19,831,0.470517448856799,0.02286401925391095,0.5184729064039408,0.4815270935960591
Espathra,14,0.07,48.33,29,27,4,60,0.45,0.06666666666666667,0.5178571428571429,0.48214285714285715
Lugia Archeops,1252,6.01,50.47,2981,2782,143,5906,0.4710463934981375,0.02421266508635286,0.517265313204928,0.48273468679507203
Gardevoir,972,4.67,49.43,2230,2089,192,4511,0.46309022389714033,0.04256262469518954,0.5163232229682797,0.4836767770317203
Charizard Pidgeot,3037,14.58,49.43,7111,6784,492,14387,0.4715368040592201,0.03419753944533259,0.5117668225980568,0.48823317740194316
Miraidon Regieleki,66,0.32,50.32,155,148,5,308,0.4805194805194805,0.016233766233766232,0.5115511551155115,0.4884488448844885
Charizard LZ Box,16,0.08,50.67,38,37,0,75,0.49333333333333335,0.0,0.5066666666666667,0.49333333333333335
Gholdengo,444,2.13,48.58,1075,1054,84,2213,0.4762765476728423,0.037957523723452326,0.5049318929074683,0.4950681070925317
Raging Bolt LZ Box,86,0.41,49.35,190,187,8,385,0.4857142857142857,0.02077922077922078,0.5039787798408488,0.4960212201591512
Future Hands,1758,8.44,49.61,4056,3992,128,8176,0.4882583170254403,0.015655577299412915,0.5039761431411531,0.4960238568588469
Roaring Moon Dudunsparce,676,3.24,49.05,1500,1477,81,3058,0.4829954218443427,0.026487900588620012,0.5038629492777964,0.49613705072220354
Ting-Lu,77,0.37,49.15,174,172,8,354,0.4858757062146893,0.022598870056497175,0.5028901734104047,0.49710982658959535
Roaring Moon,129,0.62,49.04,307,306,13,626,0.48881789137380194,0.020766773162939296,0.5008156606851549,0.499184339314845
Chien-Pao Baxcalibur,1718,8.25,48.65,3991,3986,226,8203,0.4859197854443496,0.027550896013653542,0.5003134010279554,0.49968659897204465
Snorlax Pidgeot,80,0.38,45.51,162,163,31,356,0.45786516853932585,0.08707865168539326,0.49846153846153846,0.5015384615384615
Goodra LZ Box,88,0.42,48.61,210,213,9,432,0.4930555555555556,0.020833333333333332,0.49645390070921985,0.5035460992907801
Dialga Metang,569,2.73,48.63,1229,1259,39,2527,0.4982192322912545,0.015433320142461416,0.49397106109324757,0.5060289389067524
Ancient Box,922,4.43,47.99,2063,2137,99,4299,0.4970923470574552,0.023028611304954642,0.4911904761904762,0.5088095238095238
Raging Bolt Sandy Shocks,254,1.22,48.45,548,568,15,1131,0.502210433244916,0.013262599469496022,0.4910394265232975,0.5089605734767025
Espathra Xatu,348,1.67,46.79,794,837,66,1697,0.493223335297584,0.038892162639952856,0.48681790312691603,0.513182096873084
Turbo Roaring Moon,131,0.63,47.46,271,290,10,571,0.5078809106830122,0.017513134851138354,0.483065953654189,0.5169340463458111
Arceus Goodra,68,0.33,47.28,139,149,6,294,0.5068027210884354,0.02040816326530612,0.4826388888888889,0.5173611111111112
Tyranitar,4,0.02,47.62,10,11,0,21,0.5238095238095238,0.0,0.47619047619047616,0.5238095238095238
Future Box,206,0.99,46.87,419,467,8,894,0.5223713646532439,0.008948545861297539,0.4729119638826185,0.5270880361173815
Arceus Regidrago,57,0.27,45.76,124,141,6,271,0.5202952029520295,0.02214022140221402,0.4679245283018868,0.5320754716981132
Garchomp,30,0.14,45.76,54,62,2,118,0.5254237288135594,0.01694915254237288,0.46551724137931033,0.5344827586206896
Klawf Electrode,8,0.04,44.83,13,15,1,29,0.5172413793103449,0.034482758620689655,0.4642857142857143,0.5357142857142857
Charizard,407,1.95,44.93,856,988,61,1905,0.5186351706036746,0.032020997375328084,0.4642082429501085,0.5357917570498916
Hisuian Zoroark,108,0.52,44.25,181,217,11,409,0.530562347188264,0.02689486552567237,0.4547738693467337,0.5452261306532663
Rotom,37,0.18,43.45,73,88,7,168,0.5238095238095238,0.041666666666666664,0.453416149068323,0.546583850931677
Miraidon,62,0.3,44.4,123,151,3,277,0.5451263537906137,0.010830324909747292,0.4489051094890511,0.551094890510949
Spidops Venomoth,39,0.19,43.53,74,91,5,170,0.5352941176470588,0.029411764705882353,0.4484848484848485,0.5515151515151515
Hisuian Goodra,4,0.02,44.44,8,10,0,18,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556
Palkia,91,0.44,42.16,156,205,9,370,0.5540540540540541,0.024324324324324326,0.43213296398891965,0.5678670360110804
Regidrago Box,68,0.33,42.13,91,121,4,216,0.5601851851851852,0.018518518518518517,0.42924528301886794,0.5707547169811321
Scovillain,56,0.27,41.67,100,133,7,240,0.5541666666666667,0.029166666666666667,0.4291845493562232,0.5708154506437768
Hisuian Lilligant,1,0.0,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Arceus Aggron,2,0.01,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Pikachu,1,0.0,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Great Tusk Mill,418,2.01,41.8,747,1011,29,1787,0.5657526580861779,0.016228315612758813,0.4249146757679181,0.5750853242320819
