Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties,Average Points
Mewtwo,1,0.0,57.14,4,3,0,7,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,1.7142857142857142
Snorlax Pidgeot,42,0.14,52.65,119,80,27,226,0.35398230088495575,0.11946902654867257,0.5979899497487438,0.4020100502512563,1.6991150442477876
Raging Bolt Sandy Shocks,4,0.01,56.25,9,7,0,16,0.4375,0.0,0.5625,0.4375,1.6875
Entei Iron Valiant,33,0.11,53.98,95,76,5,176,0.4318181818181818,0.028409090909090908,0.5555555555555556,0.4444444444444444,1.6477272727272727
Goodra LZ Box,81,0.27,53.23,198,163,11,372,0.4381720430107527,0.02956989247311828,0.5484764542936288,0.4515235457063712,1.6263440860215055
Raging Bolt Palkia,3,0.01,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855,1.625
Snorlax Stall,1038,3.4,50.76,2503,2030,398,4931,0.41168120056783614,0.08071385114581221,0.5521729538936686,0.44782704610633134,1.6035286960048671
Banette Gardevoir,78,0.26,51.79,188,161,14,363,0.44352617079889806,0.03856749311294766,0.5386819484240688,0.46131805157593125,1.5922865013774106
Giratina LZ Box,459,1.5,51.75,1082,964,45,2091,0.4610234337637494,0.021520803443328552,0.5288367546432062,0.47116324535679377,1.5738880918220948
Iron Thorns,477,1.56,51.66,1165,1045,45,2255,0.4634146341463415,0.019955654101995565,0.5271493212669683,0.47285067873303166,1.5698447893569845
Lugia Archeops,2337,7.65,51.51,5620,5063,227,10910,0.46406966086159485,0.02080659945004583,0.5260694561452776,0.47393054385472244,1.5661778185151238
Gouging Fire,146,0.48,51.77,321,294,5,620,0.47419354838709676,0.008064516129032258,0.5219512195121951,0.47804878048780486,1.5612903225806452
Ancient Box,843,2.76,51.01,2001,1812,110,3923,0.46189140963548303,0.028039765485597758,0.5247836349331235,0.4752163650668765,1.5582462401223554
Regidrago Box,2142,7.01,51.03,5096,4717,173,9986,0.47236130582815944,0.017324253955537754,0.5193111179048201,0.48068888209517985,1.5482675746044463
Giratina,10,0.03,50.0,21,19,2,42,0.4523809523809524,0.047619047619047616,0.525,0.475,1.5476190476190477
Future Thorns,171,0.56,50.89,372,346,13,731,0.47332421340629277,0.017783857729138167,0.5181058495821727,0.4818941504178273,1.5444596443228453
Turbo Roaring Moon,423,1.39,50.79,960,901,29,1890,0.4767195767195767,0.015343915343915344,0.5158516926383665,0.48414830736163356,1.5391534391534392
Gardevoir,3568,11.68,49.2,8225,7513,979,16717,0.4494227433151881,0.058563139319255844,0.5226204092006608,0.47737959079933917,1.534605491415924
Dragapult LZ Box,528,1.73,50.0,1256,1183,73,2512,0.47093949044585987,0.029060509554140128,0.5149651496514965,0.48503485034850347,1.52906050955414
Raging Bolt Ogerpon,2638,8.64,50.09,6103,5823,258,12184,0.47792186474064347,0.021175311884438608,0.5117390575213818,0.4882609424786181,1.5238837820091924
Lost Box Charizard,434,1.42,49.55,995,944,69,2008,0.4701195219123506,0.03436254980079681,0.5131511088189789,0.48684889118102115,1.5209163346613546
Lost Zone Box,1773,5.81,49.7,3987,3823,212,8022,0.47656444776863627,0.02642732485664423,0.5104993597951344,0.48950064020486556,1.5174520069808028
Ogerpon,46,0.15,50.25,101,98,2,201,0.48756218905472637,0.009950248756218905,0.507537688442211,0.49246231155778897,1.5174129353233832
