Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Other,728,3.58,36.66,1083,1766,105,2954,0.5978334461746784,0.035545023696682464,0.38013338013338016,0.6198666198666198
Dialga Metang,39,0.13000000000000034,0.13000000000000256,88,85,2,175,-0.0009450995881057911,-0.00038274182324279926,0.0011580456171979003,-0.0011580456171979003
Pidgeot Control,29,0.07999999999999963,-0.01999999999999602,67,56,10,133,-6.118192845439019e-05,0.00022433373766610198,-4.3832811395416726e-05,4.383281139552775e-05
Chien-Pao Baxcalibur,51,0.05000000000000071,-0.0800000000000054,113,126,5,244,0.0009593038925894137,-0.00021639830434810187,-0.0008754391844778553,0.0008754391844779663
Gardevoir,30,0.040000000000000036,-0.10999999999999943,60,68,3,131,0.0017415781577436729,-0.000604538654919301,-0.0015143034397844257,0.0015143034397844257
Lost Zone Box,27,0.03000000000000025,0.14000000000000057,60,47,1,108,-0.0008281417470525909,-0.0006288518220793002,0.0011659991668460101,-0.0011659991668460101
Lost Box Charizard,14,0.030000000000000027,-0.14000000000000057,32,30,0,62,0.002484441371135071,-0.0010973360993118027,-0.002065907948260892,0.0020659079482609477
Raging Bolt Sandy Shocks,10,0.020000000000000018,0.240000000000002,32,29,0,61,-0.001590413041904104,-0.0007887414272857995,0.0020213196025447022,-0.0020213196025447022
Miraidon,5,0.019999999999999962,-0.6799999999999997,4,9,0,13,0.007356587865762876,-0.0005372788890725001,-0.007142857142857173,0.0071428571428572285
Alakazam,0,0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Miraidon Regieleki,0,0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Lunatone Solrock,0,0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Gengar,0,0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Forretress,0,0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Espathra,0,0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Hisuian Zoroark,3,0.010000000000000009,-0.3400000000000034,4,8,0,12,0.0042509564652046805,-0.0008251856667750024,-0.003913144065835983,0.003913144065835983
Arceus,7,0.010000000000000009,0.6699999999999946,28,16,1,45,-0.006613018882957511,-6.373994104050262e-05,0.006802630172137225,-0.006802630172137281
Banette Gardevoir,4,0.010000000000000009,0.5600000000000023,15,7,2,24,-0.008359279815892795,0.0027751455259239985,0.007491675915649254,-0.00749167591564931
Banette,3,0.010000000000000009,-1.25,2,9,0,11,0.013368983957219305,-0.0008912655971479999,-0.01304347826086949,0.01304347826086949
Dialga Magnezone,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Hisuian Arcanine,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Scizor ex,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Pikachu,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Palkia Chien-Pao,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Omastar Archeops,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Oinkologne,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Dialga LZ,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Mewtwo,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Alolan Vulpix,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Hisuian Lilligant,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Zeraora,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Dondozo,0,0.01,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Giratina,0,0.009999999999999998,0.0,0,0,0,0,0.0,0.0,0.0,0.0
United Wings,0,0.009999999999999998,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Steelix Dodrio,0,0.009999999999999998,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Arcanine,0,0.009999999999999995,0.0,0,0,0,0,0.0,0.0,0.0,0.0
